index,query_id,query,results,naive_comparisons,optimized_comparisons,comparison_saving,timing_repeats,naive_ms_median,optimized_ms_median,naive_order,optimized_order
nostop,q12,(oil OR gas) AND prices,56,313,313,0,9,0.1444,0.1588,oil(109) gas(35) prices(146),oil(109) gas(35) prices(146)
nostop,q13,government AND economy,104,528,528,0,9,0.1273,0.1545,government(447) economy(193),economy(193) government(447)
nostop,q14,(microsoft OR apple) AND software,52,299,299,0,9,0.0723,0.0859,microsoft(73) apple(46) software(135),microsoft(73) apple(46) software(135)
nostop,q15,shares AND profits,37,189,189,0,9,0.0819,0.0894,shares(143) profits(84),profits(84) shares(143)
nostop,q16,election AND labour,142,295,295,0,9,0.1267,0.1343,election(213) labour(225),election(213) labour(225)
nostop,q17,(chelsea OR arsenal) AND league,43,251,251,0,9,0.1186,0.1315,chelsea(68) arsenal(54) league(109),league(109) chelsea(68) arsenal(54)
nostop,q18,digital AND music,81,316,316,0,9,0.0663,0.072,digital(162) music(236),digital(162) music(236)
nostop,q19,internet AND security,27,273,273,0,9,0.056,0.0595,internet(162) security(139),security(139) internet(162)
nostop,q20,film AND awards,74,275,275,0,9,0.0567,0.0603,film(239) awards(127),awards(127) film(239)
nostop,q21,bank AND NOT football,142,4258,250,4008,9,1.2867,0.0842,bank(144) football(109),bank(144) football(109)
nostop,q22,music AND NOT film,195,4243,433,3810,9,1.3208,0.1361,music(236) film(239),music(236) film(239)
nostop,q23,minister AND NOT chelsea,295,4126,358,3768,9,1.1764,0.115,minister(298) chelsea(68),minister(298) chelsea(68)
nostop,q24,investment,130,0,0,0,9,0.0019,0.0019,investment(130),investment(130)
nostop,q25,manager,152,0,0,0,9,0.0019,0.0019,manager(152),manager(152)
nostop,q26,technology,233,0,0,0,9,0.0019,0.0019,technology(233),technology(233)
nostop,q27,players,271,0,0,0,9,0.0019,0.0019,players(271),players(271)
nostop,q28,announced,208,0,0,0,9,0.002,0.0019,announced(208),announced(208)
nostop,q29,computing,16,0,0,0,9,0.0019,0.0019,computing(16),computing(16)
nostop,q30,winning,166,0,0,0,9,0.0019,0.0019,winning(166),winning(166)
nostop,q31,market AND prices AND oil AND gas,1,630,495,135,9,0.1338,0.1115,market(353) prices(146) oil(109) gas(35),gas(35) oil(109) prices(146) market(353)
nostop,q32,government AND minister AND election AND labour,67,1110,1075,35,9,0.281,0.2401,government(447) minister(298) election(213) labour(225),election(213) labour(225) minister(298) government(447)
nostop,q33,film AND music AND awards,16,577,520,57,9,0.1242,0.1136,film(239) music(236) awards(127),awards(127) music(236) film(239)
stemmed,q01,oil,110,0,0,0,9,0.0021,0.002,oil(110),oil(110)
stemmed,q02,election,237,0,0,0,9,0.002,0.002,elect(237),elect(237)
stemmed,q03,broadband,72,0,0,0,9,0.0021,0.002,broadband(72),broadband(72)
stemmed,q04,chelsea,68,0,0,0,9,0.002,0.002,chelsea(68),chelsea(68)
stemmed,q05,oscar,68,0,0,0,9,0.002,0.0021,oscar(68),oscar(68)
stemmed,q06,economy,200,0,0,0,9,0.002,0.002,economi(200),economi(200)
stemmed,q07,software,135,0,0,0,9,0.0021,0.0021,softwar(135),softwar(135)
stemmed,q08,album,78,0,0,0,9,0.0021,0.0021,album(78),album(78)
stemmed,q09,oil AND price,63,290,290,0,9,0.1242,0.1344,oil(110) price(245),oil(110) price(245)
stemmed,q10,mobile AND phone,102,177,177,0,9,0.0394,0.0435,mobil(132) phone(148),mobil(132) phone(148)
stemmed,q11,football OR rugby,176,170,170,0,9,0.0424,0.0425,footbal(114) rugbi(74),footbal(114) rugbi(74)
stemmed,q12,(oil OR gas) AND prices,64,405,405,0,9,0.0905,0.0991,oil(110) ga(35) price(245),oil(110) ga(35) price(245)
stemmed,q13,government AND economy,111,574,574,0,9,0.2464,0.2565,govern(490) economi(200),economi(200) govern(490)
stemmed,q14,(microsoft OR apple) AND software,52,301,301,0,9,0.0695,0.0775,microsoft(73) appl(47) softwar(135),microsoft(73) appl(47) softwar(135)
stemmed,q15,shares AND profits,67,374,374,0,9,0.0784,0.083,share(299) profit(143),profit(143) share(299)
stemmed,q16,election AND labour,148,315,315,0,9,0.0669,0.0709,elect(237) labour(227),labour(227) elect(237)
stemmed,q17,(chelsea OR arsenal) AND league,44,255,255,0,9,0.1224,0.1373,chelsea(68) arsen(55) leagu(111),leagu(111) chelsea(68) arsen(55)
stemmed,q18,digital AND music,83,348,348,0,9,0.1487,0.1576,digit(171) music(261),digit(171) music(261)
stemmed,q19,internet AND security,34,410,410,0,9,0.1727,0.1622,internet(162) secur(283),internet(162) secur(283)
stemmed,q20,film AND awards,98,360,360,0,9,0.076,0.0808,film(285) award(192),award(192) film(285)
stemmed,q21,bank AND NOT football,180,4299,293,4006,9,1.9003,0.1517,bank(186) footbal(114),bank(186) footbal(114)
stemmed,q22,music AND NOT film,186,4231,470,3761,9,1.9624,0.2247,music(261) film(285),music(261) film(285)
stemmed,q23,minister AND NOT chelsea,346,4126,407,3719,9,0.9219,0.1019,minist(349) chelsea(68),minist(349) chelsea(68)
stemmed,q24,investment,165,0,0,0,9,0.0021,0.0021,invest(165),invest(165)
stemmed,q25,manager,343,0,0,0,9,0.0021,0.0022,manag(343),manag(343)
stemmed,q26,technology,241,0,0,0,9,0.0021,0.0021,technologi(241),technologi(241)
stemmed,q27,players,376,0,0,0,9,0.0021,0.0021,player(376),player(376)
stemmed,q28,announced,304,0,0,0,9,0.0021,0.0021,announc(304),announc(304)
stemmed,q29,computing,180,0,0,0,9,0.0021,0.0021,comput(180),comput(180)
stemmed,q30,winning,483,0,0,0,9,0.0021,0.0021,win(483),win(483)
stemmed,q31,market AND prices AND oil AND gas,1,815,634,181,9,0.1741,0.141,market(433) price(245) oil(110) ga(35),ga(35) oil(110) price(245) market(433)
stemmed,q32,government AND minister AND election AND labour,73,1224,1162,62,9,0.3099,0.3462,govern(490) minist(349) elect(237) labour(227),labour(227) elect(237) minist(349) govern(490)
stemmed,q33,film AND music AND awards,23,705,656,49,9,0.3011,0.291,film(285) music(261) award(192),award(192) music(261) film(285)
lemmatized,q01,oil,109,0,0,0,9,0.0034,0.0034,oil(109),oil(109)
lemmatized,q02,election,226,0,0,0,9,0.0034,0.0034,election(226),election(226)
lemmatized,q03,broadband,72,0,0,0,9,0.0677,0.0672,broadband(72),broadband(72)
lemmatized,q04,chelsea,68,0,0,0,9,0.0684,0.0723,chelsea(68),chelsea(68)
lemmatized,q05,oscar,67,0,0,0,9,0.0955,0.1481,oscar(67),oscar(67)
lemmatized,q06,economy,200,0,0,0,9,0.007,0.0071,economy(200),economy(200)
lemmatized,q07,software,135,0,0,0,9,0.0069,0.0069,software(135),software(135)
lemmatized,q08,album,77,0,0,0,9,0.1328,0.1316,album(77),album(77)
lemmatized,q09,oil AND price,63,286,286,0,9,0.1276,0.1408,oil(109) price(242),oil(109) price(242)
lemmatized,q10,mobile AND phone,101,170,170,0,9,0.1089,0.1806,mobile(124) phone(148),mobile(124) phone(148)
lemmatized,q11,football OR rugby,171,165,165,0,9,0.1176,0.115,football(109) rugby(74),football(109) rugby(74)
lemmatized,q12,(oil OR gas) AND prices,64,402,402,0,9,0.0967,0.1085,oil(109) gas(36) price(242),oil(109) gas(36) price(242)
lemmatized,q13,government AND economy,110,543,543,0,9,0.238,0.2551,government(458) economy(200),economy(200) government(458)
lemmatized,q14,(microsoft OR apple) AND software,52,301,301,0,9,0.1428,0.2209,microsoft(73) apple(47) software(135),microsoft(73) apple(47) software(135)
lemmatized,q15,shares AND profits,60,353,353,0,9,0.0779,0.0857,share(295) profit(119),profit(119) share(295)
lemmatized,q16,election AND labour,145,305,305,0,9,0.1518,0.2554,election(226) labour(225),labour(225) election(226)
lemmatized,q17,(chelsea OR arsenal) AND league,44,252,252,0,9,0.2714,0.7056,chelsea(68) arsenal(54) league(111),league(111) chelsea(68) arsenal(54)
lemmatized,q18,digital AND music,81,316,316,0,9,0.2751,0.422,digital(162) music(236),digital(162) music(236)
lemmatized,q19,internet AND security,32,319,319,0,9,0.198,0.3825,internet(162) security(190),internet(162) security(190)
lemmatized,q20,film AND awards,98,360,360,0,9,0.2611,0.3943,film(285) award(192),award(192) film(285)
lemmatized,q21,bank AND NOT football,173,4303,281,4022,9,1.8347,0.1431,bank(178) football(109),bank(178) football(109)
lemmatized,q22,music AND NOT film,174,4218,458,3760,9,1.773,0.2165,music(236) film(285),music(236) film(285)
lemmatized,q23,minister AND NOT chelsea,346,4126,407,3719,9,1.1584,0.2934,minister(349) chelsea(68),minister(349) chelsea(68)
lemmatized,q24,investment,140,0,0,0,9,0.0036,0.0036,investment(140),investment(140)
lemmatized,q25,manager,168,0,0,0,9,0.007,0.0071,manager(168),manager(168)
lemmatized,q26,technology,241,0,0,0,9,0.0072,0.0071,technology(241),technology(241)
lemmatized,q27,players,376,0,0,0,9,0.0072,0.0072,player(376),player(376)
lemmatized,q28,announced,250,0,0,0,9,0.0944,0.0724,announce(250),announce(250)
lemmatized,q29,computing,12,0,0,0,9,0.1394,0.1378,compute(12),compute(12)
lemmatized,q30,winning,623,0,0,0,9,0.1362,0.1383,win(623),win(623)
lemmatized,q31,market AND prices AND oil AND gas,1,793,627,166,9,0.3631,0.31,market(413) price(242) oil(109) gas(36),gas(36) oil(109) price(242) market(413)
lemmatized,q32,government AND minister AND election AND labour,73,1179,1136,43,9,0.7725,0.9247,government(458) minister(349) election(226) labour(225),labour(225) election(226) minister(349) government(458)
lemmatized,q33,film AND music AND awards,18,685,636,49,9,0.4355,0.5648,film(285) music(236) award(192),award(192) music(236) film(285)
