index,kind,query_id,retrieved,relevant,true_positives,precision,recall,f1
normalized,boolean,q14,52,54,52,1.0,0.963,0.9811
normalized,boolean,q15,37,37,37,1.0,1.0,1.0
normalized,boolean,q16,142,147,142,1.0,0.966,0.9827
normalized,boolean,q17,43,44,43,1.0,0.9773,0.9885
normalized,boolean,q18,81,81,81,1.0,1.0,1.0
normalized,boolean,q19,27,27,27,1.0,1.0,1.0
normalized,boolean,q20,74,74,74,1.0,1.0,1.0
normalized,negation,q21,142,143,142,1.0,0.993,0.9965
normalized,negation,q22,195,195,195,1.0,1.0,1.0
normalized,negation,q23,295,305,295,1.0,0.9672,0.9833
normalized,morphological,q24,130,166,130,1.0,0.7831,0.8784
normalized,morphological,q25,152,350,152,1.0,0.4343,0.6056
normalized,morphological,q26,233,248,233,1.0,0.9395,0.9688
normalized,morphological,q27,271,722,271,1.0,0.3753,0.5458
normalized,morphological,q28,208,304,208,1.0,0.6842,0.8125
normalized,morphological,q29,16,184,16,1.0,0.087,0.16
normalized,morphological,q30,166,568,166,1.0,0.2923,0.4523
normalized,boolean,q31,1,1,1,1.0,1.0,1.0
normalized,boolean,q32,67,80,67,1.0,0.8375,0.9116
normalized,boolean,q33,16,16,16,1.0,1.0,1.0
nostop,simple,q01,109,109,109,1.0,1.0,1.0
nostop,simple,q02,213,218,213,1.0,0.9771,0.9884
nostop,simple,q03,72,72,72,1.0,1.0,1.0
nostop,simple,q04,68,69,68,1.0,0.9855,0.9927
nostop,simple,q05,56,75,56,1.0,0.7467,0.855
nostop,simple,q06,193,195,193,1.0,0.9897,0.9948
nostop,simple,q07,135,135,135,1.0,1.0,1.0
